Event.name,n
Course activity completion updated,54772
Course backup created,1
Course module created,68
Course module deleted,14
Course module instance list viewed,705
Course module updated,446
Course module viewed,69409
Course restored,1
Course searched,36
Course section created,6
Course section updated,23
Course updated,4
Course user report viewed,115
Course viewed,56817
Discussion created,1726
Discussion deleted,13
Discussion subscription created,3014
Discussion subscription deleted,190
Discussion viewed,11416
Enrollment instance created,3
Enrollment instance updated,1
Grade deleted,917
Grade item created,9
Grade item updated,24
Grade outcomes report viewed,2
Grade overview report viewed,64
Grade user report viewed,728
Grader report viewed,23
Group member added,68
Item created,14
Item deleted,14
Log report viewed,27
Post created,1315
Post deleted,21
Post updated,160
Question created,20
Question updated,1
Quiz attempt preview started,8
Quiz attempt reviewed,3044
Quiz attempt started,2651
Quiz attempt submitted,2627
Quiz attempt summary viewed,2754
Quiz attempt viewed,14285
Quiz edit page viewed,55
Read tracking disabled,2
Role assigned,3505
Role unassigned,19
Some content has been posted.,3201
Step shown,4840
Subscription created,72
Subscription deleted,19
TXT grade exported,13
Tag added to an item,2
Tour ended,1835
Tour reset,8
Tour started,2391
User enrolled in course,3505
User graded,4736
User list viewed,2350
User log report viewed,1
User profile viewed,3086
User report viewed,70
User unenrolled from course,19
XLS grade exported,3
0,243296
Intructional video viewed,13992
0,247656
Reading material viewed,9632
