Event.name,n
Course activity completion updated,30450
Course module created,42
Course module deleted,24
Course module instance list viewed,118
Course module updated,389
Course module viewed,33829
Course restored,1
Course searched,14
Course section created,6
Course section updated,15
Course updated,4
Course user report viewed,21
Course viewed,28004
Discussion created,880
Discussion deleted,8
Discussion subscription created,1368
Discussion subscription deleted,117
Discussion viewed,5986
Enrollment instance created,3
Enrollment instance updated,1
Grade deleted,411
Grade item created,9
Grade item updated,24
Grade overview report viewed,9
Grade user report viewed,195
Grader report viewed,6
Group member added,29
Item created,24
Item deleted,24
Log report viewed,15
Post created,570
Post deleted,9
Post updated,44
Question created,21
Question updated,1
Quiz attempt preview started,8
Quiz attempt reviewed,1395
Quiz attempt started,1285
Quiz attempt submitted,1260
Quiz attempt summary viewed,1357
Quiz attempt viewed,6990
Quiz edit page viewed,60
Role assigned,1476
Role unassigned,7
Some content has been posted.,1494
Step shown,1890
Subscription created,7
Subscription deleted,5
TXT grade exported,6
Tag added to an item,3
Tour ended,835
Tour reset,3
Tour started,976
User enrolled in course,1476
User graded,2346
User list viewed,636
User profile viewed,1405
User report viewed,5
User unenrolled from course,7
0,120029
Intructional video viewed,7574
0,122171
Reading material viewed,5432
